"danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","genre","popularity","target"
0.65,0.323,0.7652,1,0.0283,0.213,0,0.187,0.276,0.4596,0.0365,3,1,76,1
0.289,0.289,0.5913,1,0.0336,0.763,0,0.23,0.305,0.3931,0.0553,3,5,51,0
0.659,0.814,0.8281,0,0.036,0.603,0,0.559,0.937,0.5093,0.0301,4,3,41,1
0.454,0.26,0.6804,0,0.0401,0.539,8e-04,0.0675,0.598,0.7221,0.0744,5,6,60,1
0.452,0.252,0.6472,1,0.0342,0.858,0,0.353,0.506,0.4829,0.0294,4,12,66,0
0.542,0.612,0.7671,1,0.0312,0.676,0,0.308,0.862,0.4668,0.025,4,5,56,1
0.564,0.282,0.7513,1,0.0251,0.807,0,0.0957,0.426,0.3777,0.0323,3,1,0,1
0.592,0.743,0.775,1,0.0479,0.0651,9e-04,0.0531,0.977,0.6623,0.0231,4,3,76,1
0.594,0.771,0.7899,1,0.0448,0.255,0,0.409,0.884,0.5319,0.0421,4,6,62,1
0.449,0.537,0.6815,1,0.0392,0.551,1e-04,0.412,0.961,0.4958,0.036,4,2,41,1
0.456,0.222,0.6109,1,0.0354,0.938,0.806,0.24,0.15,0.4669,0.0907,4,1,52,0
0.664,0.513,0.7549,0,0.0352,0.714,0.0016,0.136,0.885,0.5241,0.0346,4,6,34,0
0.526,0.52,0.7611,1,0.0296,0.202,3e-04,0.156,0.675,0.4904,0.0351,4,2,66,1
0.345,0.919,0.8013,1,0.149,0.642,0.0112,0.5,0.868,0.6636,0.0248,4,2,45,1
0.576,0.238,0.6697,1,0.028,0.79,0.298,0.158,0.372,0.433,0.0392,4,1,39,1
0.488,0.123,0.5781,1,0.0371,0.896,0.0547,0.091,0.226,0.4987,0.086,4,6,26,0
0.213,0.394,0.8101,1,0.0324,0.808,0,0.192,0.343,0.7421,0.038,3,3,30,1
0.511,0.698,0.7522,0,0.048,0.0186,2e-04,0.64,0.914,0.6109,0.0286,4,2,43,1
0.491,0.583,0.7225,1,0.0376,0.182,0,0.407,0.907,0.6237,0.0405,4,9,76,1
0.528,0.482,0.7229,0,0.027,0.614,0,0.549,0.788,0.3969,0.0455,1,7,67,1
0.397,0.625,0.7609,1,0.0316,0.732,0.7,0.142,0.634,0.6096,0.04,4,5,11,0
0.154,0.185,0.664,1,0.0315,0.911,3e-04,0.112,0.15,0.3478,0.0363,4,6,63,1
0.304,0.289,0.7225,0,0.0432,0.752,0,0.756,0.154,0.6096,0.086,3,6,70,1
0.301,0.163,0.7201,1,0.031,0.843,0,0.126,0.355,0.3613,0.0382,3,6,27,1
0.478,0.122,0.5004,0,0.056,0.831,0.714,0.298,0.493,0.5059,0.0926,4,6,36,0
0.646,0.562,0.6954,1,0.0356,0.0534,0,0.0513,0.964,0.4943,0.0288,4,6,42,1
0.392,0.542,0.7821,1,0.0423,0.171,0,0.205,0.701,0.8237,0.0284,3,3,31,1
